TypeName,BranchName,Buy,Sell,date
"Vàng SJC 1L, 10L, 1KG",Hồ Chí Minh,157000.0,159000.0,2025-12-23 08:34:00
"Vàng SJC 1L, 10L, 1KG",Miền Bắc,157000.0,159000.0,2025-12-23 08:34:00
"Vàng SJC 1L, 10L, 1KG",Hạ Long,157000.0,159000.0,2025-12-23 08:34:00
"Vàng SJC 1L, 10L, 1KG",Hải Phòng,157000.0,159000.0,2025-12-23 08:34:00
"Vàng SJC 1L, 10L, 1KG",Miền Trung,157000.0,159000.0,2025-12-23 08:34:00
"Vàng SJC 1L, 10L, 1KG",Huế,157000.0,159000.0,2025-12-23 08:34:00
"Vàng SJC 1L, 10L, 1KG",Quảng Ngãi,157000.0,159000.0,2025-12-23 08:34:00
"Vàng SJC 1L, 10L, 1KG",Nha Trang,157000.0,159000.0,2025-12-23 08:34:00
"Vàng SJC 1L, 10L, 1KG",Biên Hòa,157000.0,159000.0,2025-12-23 08:34:00
"Vàng SJC 1L, 10L, 1KG",Miền Tây,157000.0,159000.0,2025-12-23 08:34:00
"Vàng SJC 1L, 10L, 1KG",Bạc Liêu,157000.0,159000.0,2025-12-23 08:34:00
"Vàng SJC 1L, 10L, 1KG",Cà Mau,157000.0,159000.0,2025-12-23 08:34:00
